227.4666667,231.2,229.3333333,1.85,1.85,1.866666667,1.25,0,1,99.91666667,0.1,1,99.91666667,0
226.5333333,230.95,228.5833333,1.95,2,2.033333333,1.363333333,0,1,99.9,0.1,1,99.9,0
229.5166667,231.0166667,228.25,2.283333333,2.3,2.316666667,1.606666667,0,1,99.96666667,0.1,1,99.96666667,0
228.6857143,229.7714286,227.2857143,2.485714286,2.485714286,2.557142857,1.75,0,1,99.98571429,0.1,1,99.98571429,0
230.3857143,230.3285714,226.6,2.971428571,3,3.028571429,2.102857143,0.001428571,1,99.92857143,0.1,1,99.92857143,0
172.25,174.4875,170.8875,59.9625,60.95,59.6125,2.2725,0,1,100,0.1,1,100,0
227.7714286,229.6285714,225.9285714,1.371428571,1.357142857,1.414285714,0.987142857,-0.001428571,1,99.98571429,0.1,1,99.98571429,0
227.8625,228.8625,226.2375,1.4625,1.4375,1.4875,1.0375,0,1,100,0.1,1,100,0
228,229.6,225.9,1.55,1.55,1.55,1.09625,-0.00375,1,99.925,0.1,1,99.925,0
227.0285714,230.9714286,226.0285714,1.757142857,1.757142857,1.8,1.214285714,21645.92571,1,99.94285714,0.1,1,99.94285714,0
225.7142857,232.3714286,227.1142857,1.942857143,1.942857143,1.942857143,1.344285714,0,1,99.9,0.1,1,99.9,0
226.425,233.325,228.225,2.325,2.3625,2.4,1.64875,37749.305,1,99.925,0.1,1,99.925,0
227.2,231.4666667,229.8666667,2.266666667,2.266666667,2.3,1.606666667,0,1,99.93333333,0.1,1,99.93333333,0
1885.942857,151.5857143,223.4714286,98.61428571,100.8857143,99.3,1.56,21655.29286,1,99.92857143,0.1,1,99.92857143,6.471428571
227.5875,229.125,229.6,1.6,1.6,1.625,1.12,0,1,99.9375,0.1,1,99.9375,0
161.1285714,164.5714286,162.8,64.95714286,67,65.7,0.938571429,0,1,99.98571429,0.1,1,99.98571429,0
139.4875,144.075,141.925,84.725,88.2875,86.2,1.1225,0,1,99.9,0.1,1,99.9,0
223.2714286,232.0571429,228.9428571,2.3,2.3,2.342857143,1.602857143,0,1,99.92857143,0.1,1,99.92857143,0
